Date,Branch,Platform,Review_Text
2026-03-25 17:32:56.661692,General,YouTube Comment,Bhai hamesha fast food hi khate ho kabhi halty food bi try karo
2026-03-25 17:32:56.661692,General,YouTube Comment,Dominos ki har branch pe indi tandoor hi suggest krtei hai kyuki wo bikta kam hai aur taste bhi so so hota hai 😂
2026-03-25 17:32:57.084896,General,YouTube Comment,costly and tasteless
2026-03-25 17:32:57.084896,General,YouTube Comment,these pizzas are tasteless and ugly...never liked em
2026-03-25 17:32:57.084896,General,YouTube Comment,Ppl asking u thr price but u not replyi..
2026-03-25 17:32:57.897415,General,YouTube Comment,Tastes really good ❤
2026-03-25 17:32:57.897415,General,YouTube Comment,Bekar hai 0 worth hai isse acha margarita hai extra cheese hai 😊
2026-03-25 17:32:57.897415,General,YouTube Comment,"The sauce in volcano is the same that dominos used to put in their normal pizza back then

Dominos looting"
2026-03-25 17:33:00.555713,General,YouTube Comment,Per baccha hai iska naam to peppy paneer pizza Hai yah Pizza to famous Angel Pizza ka hai😅
2026-03-25 17:33:00.555713,General,YouTube Comment,Box food 😊pizza😊
2026-03-25 17:33:00.555713,General,YouTube Comment,Maine abhi order kiya hai 20€ me
2026-03-25 17:33:00.882043,General,YouTube Comment,Bilkul accha taste nhi hota hai
2026-03-25 17:33:00.882043,General,YouTube Comment,Abe tu ja Sabse aacha Buger Dominos ka he
2026-03-25 17:33:00.882043,General,YouTube Comment,Abe bhai teri aadhi reel dekh k order kr dia khaane k baad aya waapis puri reel dekhne ki kitna bekaar burger h ye
2026-03-25 17:33:01.382194,General,YouTube Comment,"Product Links:
Dress : https://clnk.in/sUVL




P.S : If you buy from above link we get a small commission (without affecting it’s final cost), which helps us bring out more such videos for you ❤️❤️"
2026-03-25 17:33:01.382194,General,YouTube Comment,"Is 450 expensive?
For 2"
2026-03-25 17:33:01.382194,General,YouTube Comment,Worst pizza I ever taste🥲
2026-03-25 17:33:01.382194,General,YouTube Comment,Idk mujhe jalapenos khatta lagta hai naki spicy 😂
2026-03-25 17:33:01.382194,General,YouTube Comment,How do food vloggers don't really ever get fat-?
2026-03-25 17:33:01.685882,General,YouTube Comment,At 4 years old she shouldn't be eating all these junk foods. You should set a example for her to eat healthy and what are u doing ! Failed parenting
2026-03-25 17:33:01.685882,General,YouTube Comment,Kha kha ke isle liye chota pack ab mota packet ho gayi😂😂😂😂
2026-03-25 17:33:01.904172,General,YouTube Comment,"Hey, at least on every single of these videos he gives out the food to people"
2026-03-25 17:33:01.904172,General,YouTube Comment,Urm actually a uk dominos has made one about 50% bigger
2026-03-25 17:33:01.904172,General,YouTube Comment,Dear Domino's.... why.... no one I know can eat 2 pieces before stomach issues. Explain that.... I tried to hang....  but you fucked up.  Pretty f****** arduous if you ask me
2026-03-25 17:33:01.904172,General,YouTube Comment,Actually I missed one dominoes
2026-03-25 17:33:03.037094,General,YouTube Comment,Not Bad For 99 RS It's a Gud Offer They Must Include This Offer In Online Delivery Also Like Swiggy Zomato.!
2026-03-25 17:33:03.037094,General,YouTube Comment,Meal to kha Liya Lekin mene 100 rupay diya tha eak rupay wapis nhi aaya
2026-03-25 17:33:03.039101,General,YouTube Comment,Acha r khaoge😂
