Date,Branch,Platform,Review_Text,Translated_Text,Food,Service,Ambience,Pricing
2026-03-25,General,YouTube Comment,Bhai hamesha fast food hi khate ho kabhi halty food bi try karo,"Brother, I always eat fast food, but sometimes I try to eat healthy food.",0.0,-0.5673185586929321,0.0,0.0
2026-03-25,General,YouTube Comment,Dominos ki har branch pe indi tandoor hi suggest krtei hai kyuki wo bikta kam hai aur taste bhi so so hota hai 😂,Indian tandoor is suggested at every branch of Dominos because it is not sold and the taste is also so-so.,-0.985982358455658,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,costly and tasteless,costly and tasteless,-0.9997461438179016,0.0,0.0,-0.9997461438179016
2026-03-25,General,YouTube Comment,these pizzas are tasteless and ugly...never liked em,these pizzas are tasteless and ugly...never liked em,-0.9998165965080261,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Ppl asking u thr price but u not replyi..,Ppl asking u thr price but u not replyi..,0.0,0.0,0.0,-0.9957881569862366
2026-03-25,General,YouTube Comment,Tastes really good ❤,Tastes really good ❤,0.9998674392700195,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Bekar hai 0 worth hai isse acha margarita hai extra cheese hai 😊,Bekar hai 0 worth hai isse acha margarita hai extra cheese 😊,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"The sauce in volcano is the same that dominos used to put in their normal pizza back then

Dominos looting","The sauce in volcano is the same that dominos used to put in their normal pizza back then

Dominos looting",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Per baccha hai iska naam to peppy paneer pizza Hai yah Pizza to famous Angel Pizza ka hai😅,"The name of the child is peppy paneer pizza, this pizza is from the famous Angel Pizza.",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Box food 😊pizza😊,Box food 😊pizza😊,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Maine abhi order kiya hai 20€ me,I have just ordered for 20€,0.0,-0.9592275619506836,0.0,0.0
2026-03-25,General,YouTube Comment,Bilkul accha taste nhi hota hai,It doesn't taste good at all,-0.9997898936271667,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Abe tu ja Sabse aacha Buger Dominos ka he,Now you are the best bugger of Dominos.,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Abe bhai teri aadhi reel dekh k order kr dia khaane k baad aya waapis puri reel dekhne ki kitna bekaar burger h ye,"Abe bhai, I ordered you to watch the first reel and after eating it came back to watch the full reel, how useless is this burger.",-0.9997683167457581,-0.9997683167457581,0.0,0.0
2026-03-25,General,YouTube Comment,"Product Links:
Dress : https://clnk.in/sUVL




P.S : If you buy from above link we get a small commission (without affecting it’s final cost), which helps us bring out more such videos for you ❤️❤️","Product Links:
Dress : https://clnk.in/sUVL




P.S : If you buy from above link we get a small commission (without affecting it’s final cost), which helps us bring out more such videos for you ❤️❤️",0.0,0.0,0.0,0.8986528515815735
2026-03-25,General,YouTube Comment,"Is 450 expensive?
For 2","Is 450 expensive?
For 2",0.0,0.0,0.0,-0.9834607839584351
2026-03-25,General,YouTube Comment,Worst pizza I ever taste🥲,Worst pizza I ever taste🥲,-0.9997748732566833,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Idk mujhe jalapenos khatta lagta hai naki spicy 😂,Idk to me jalapenos taste sour and spicy ???,-0.9963584542274475,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,How do food vloggers don't really ever get fat-?,How do food vloggers don't really ever get fat-?,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,At 4 years old she shouldn't be eating all these junk foods. You should set a example for her to eat healthy and what are u doing ! Failed parenting,At 4 years old she shouldn't be eating all these junk foods. You should set a example for her to eat healthy and what are u doing ! Failed parenting,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kha kha ke isle liye chota pack ab mota packet ho gayi😂😂😂😂,This pack is now a big packet just for the sake of eating.,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"Hey, at least on every single of these videos he gives out the food to people","Hey, at least on every single of these videos he gives out the food to people",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Urm actually a uk dominos has made one about 50% bigger,Urm actually a uk dominos has made one about 50% bigger,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Dear Domino's.... why.... no one I know can eat 2 pieces before stomach issues. Explain that.... I tried to hang....  but you fucked up.  Pretty f****** arduous if you ask me,Dear Domino's.... why.... no one I know can eat 2 pieces before stomach issues. Explain that.... I tried to hang....  but you fucked up.  Pretty f****** arduous if you ask me,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Actually I missed one dominoes,Actually I missed one dominoes,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Not Bad For 99 RS It's a Gud Offer They Must Include This Offer In Online Delivery Also Like Swiggy Zomato.!,Not Bad For 99 RS It's a Gud Offer They Must Include This Offer In Online Delivery Also Like Swiggy Zomato.!,0.0,-0.9926378726959229,0.0,-0.9926378726959229
2026-03-25,General,YouTube Comment,Meal to kha Liya Lekin mene 100 rupay diya tha eak rupay wapis nhi aaya,Took food but I gave 100 rupees and did not return each rupee.,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Acha r khaoge😂,Come and eat.,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,“Main fast food ka shaukeen hoon aur liver thoda weak lag raha tha. Planet Ayurveda Liver Care Pack ne mujhe bahut help ki — feeling light & healthy!”,“I was a fast food lover and my liver was feeling a little weak. Planet Ayurveda Liver Care Pack helped me a lot — feeling light & healthy!”,0.0,0.9878612160682678,0.0,0.0
2026-03-25,General,YouTube Comment,Bro use summer filters in food videos and try soft songs or instrumatal,Bro use summer filters in food videos and try soft songs or instrumatal,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,If you order 5 and apply 100 rupees copen code then it will no dilivery charges i think or just see it it cost 36 of 1 pizza means 36 ✖️ 5=180 only,If you order 5 and apply 100 rupees copen code then it will no dilivery charges i think or just see it it cost 36 of 1 pizza means 36 ✖️ 5=180 only,0.0,-0.997326135635376,0.0,-0.997326135635376
2026-03-25,General,YouTube Comment,"But this pizza is not only 49 rupees 😭😭😭😭😭they included delivery charges and tax charges 
Delivery charges are included because the price of the item is not more than Rs.149😓","But this pizza is not only 49 rupees 😭😭😭😭😭they included delivery charges and tax charges 
Delivery charges are included because the price of the item is not more than Rs.149😓",0.0,-0.9862015843391418,0.0,-0.9862015843391418
2026-03-25,General,YouTube Comment,It's really worth it,It's really worth it,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"Spin the wheel on www.harmonychocolates.in and get FREE CHOCOLATES on
Harmony End of Year Sale ! LIVE NOW!!","Spin the wheel on www.harmonychocolates.in and get FREE CHOCOLATES on
Harmony End of Year Sale ! LIVE NOW!!",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,I literally ate for free during college doing this at the pizza place I worked for.,I literally ate for free during college doing this at the pizza place I worked for.,0.0,0.0,-0.9968558549880981,0.0
2026-03-25,General,YouTube Comment,"Oh my god, this is actually ridiculous I’m never ordering dominoes again actual pos of a company should all burn","Oh my god, this is actually ridiculous I’m never ordering dominoes again actual pos of a company should all burn",0.0,-0.9995983242988586,0.0,0.0
2026-03-25,General,YouTube Comment,Price ? Of regular and medium??,Price ? Of regular and medium??,0.0,0.0,0.0,-0.9809011816978455
2026-03-25,General,YouTube Comment,"To those who are saying that i should’ve reached in time - i went at 1pm & to those who are saying “itna milgya kaafi hai”, so i went to try the whole combo that they promised but i didn’t received it ,of course that will disappoint me🤷🏻‍♀️","To those who are saying that i should’ve reached in time - i went at 1pm & to those who are saying “itna milgya kaafi hai”, so i went to try the whole combo that they promised but i didn’t received it ,of course that will disappoint me🤷🏻‍♀️",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Didi aapko nahin mila tha hamen to sab kuchh mila tha humne To Aaj hi order karke khaya😂😂😂😂😂,"Didi, you did not get that hamen, everyone got that hamne, today I ordered and ate it.",0.0,-0.9569106698036194,0.0,0.0
2026-03-25,General,YouTube Comment,Har place ka Domino's zaroori nahin achcha Ho,Domino's at every place is not necessary but good,0.0,0.0,0.9998212456703186,0.0
2026-03-25,General,YouTube Comment,Bahen accha hua ki wo nhi mila kyu ki wo  na hone ke barabar itna bad taste hota h baki chij ka,"Sister, it was good that she was not found because if she was not there, the rest of the food would have tasted so bad.",-0.9938850998878479,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,30000 ka Pizza mangaane Se achcha tha 10000 humko de dete kuchh to Kam aata,"By ordering a pizza worth Rs 30,000, it was better to give Rs 10,000 to us.",0.0,-0.9980837106704712,0.0,0.0
2026-03-25,General,YouTube Comment,Bahut Achcha kam Kiya❤❤❤❤,Did a lot of good things❤❤❤❤,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Get a FREE REGIONAL CHOCOLATE BAR with Harmony Kunafa Chocolate (pack of 2) 🍫 from www.harmonychocolates.in,Get a FREE REGIONAL CHOCOLATE BAR with Harmony Kunafa Chocolate (pack of 2) 🍫 from www.harmonychocolates.in,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"Bakwass it shows 99 but takes 119. Dominos cheese and ketchup are chemical made not real. Eat & feel the taste of it. Then feel eat the taste of market made one. Totally different. Home delivery services in mahim west is bakwass not attending on phone. Customer care is only laughing on the calls worst case of dominos. I suggest don't buy from domino's Henceforth. Rest other's are better than it. Dominos giving at low cost but using chemical artificial ingredient colors that makes pain in body. Food poison type. Other company pizzas are costly but have good ingredients health for body and peaceful to eat. For example pizza hut, oven fresh etc have best pizzas. Never buy from domino's Henceforth. lt lack customers also you could see less customers too buying it. Worst pizza dominos that's truth trust me.","Bakwass it shows 99 but takes 119. Dominos cheese and ketchup are chemical made not real. Eat & feel the taste of it. Then feel eat the taste of market made one. Totally different. Home delivery services in mahim west is bakwass not attending on phone. Customer care is only laughing on the calls worst case of dominos. I suggest don't buy from domino's Henceforth. Rest other's are better than it. Dominos giving at low cost but using chemical artificial ingredient colors that makes pain in body. Food poison type. Other company pizzas are costly but have good ingredients health for body and peaceful to eat. For example pizza hut, oven fresh etc have best pizzas. Never buy from domino's Henceforth. lt lack customers also you could see less customers too buying it. Worst pizza dominos that's truth trust me.",-0.9966296553611755,-0.9966296553611755,0.0,-0.9966296553611755
