Date,Branch,Platform,Review_Text,Translated_Text,Food,Service,Ambience,Pricing
2026-03-25,General,YouTube Comment,Kentucky fried chicken 🍗🍗🍗🍗,Kentucky fried chicken 🍗🍗🍗🍗,-0.8423448801040649,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kenchuki fried chicken,Kenchuki fried chicken,-0.8220462799072266,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,ఎస్ i know ఐస్ Kentuky ఫ్రైడ్ chicken🍗🍿🍔,S i know Ice Kentucky Fried Chicken🍗🍿🍔,-0.9063704609870911,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Krifcy frid chicken,Crispy fried chicken,0.9562510251998901,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kentucky fride chicken,Kentucky fride chicken,-0.9852719306945801,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kentucky fried chicken 🍗,Kentucky fried chicken 🍗,-0.8423448801040649,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kullipoyina fried chicken,Kullipoyina fried chicken,-0.9548004865646362,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kantakeki fried Chicken,Kantakeki fried Chicken,-0.6890536546707153,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kentucky fried chicken,Kentucky fried chicken,-0.5012691617012024,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kentucky fried chicken 🍗🍔🍟🍕,Kentucky fried chicken 🍗🍔🍟🍕,-0.8423448801040649,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Kentakan fried chicken 🍗 maya,Crack fried chicken 🍗 maya,-0.88234543800354,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,King fried Chicken,King fried Chicken,-0.8589679598808289,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Fshdjxhdghzggydgdydydggzfhchfzgffzhsggshdttdggfdggg te de f gshsbeh hehtrhgtjyyhr dhyan face dffrfff 🎉😂❤❤😢😊xhfdyxvharbrthyrh,Fshdjxhdghzggydgdydydggzfhchfzgffzhsggshdttdggfdggg te de f gshsbeh hehtrhgtjyyhr dhyan face dffrfff 🎉😂❤❤😢😊xhfdyxvharbrthyrh,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"New KFC meal. 
KRISPER CHICKEN. BURGER 
REG FRENCH FRIES 
REG COKE. 

₹99. ONLY 🤑🤑🤑","New KFC meal. 
KRISPER CHICKEN. BURGER 
REG FRENCH FRIES 
REG COKE. 

₹99. ONLY 🤑🤑🤑",-0.9887719750404358,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Same Wednesday meal offer  630,Same Wednesday meal offer  630,0.0,0.0,0.0,-0.9285919666290283
2026-03-25,General,YouTube Comment,"Sarada sarada ke kg chicken tinna, was personal😅","Sarada sarada ke kg chicken tinna, was personal😅",-0.9848487973213196,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,I love chicken ❤,I love chicken ❤,0.9959459900856018,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"Akka chicken ni prename gani,,,eppudu aa chicken ne ni prenam thistundhi,,,Jara,chusukoni,,,,thinu","Akka chicken ni prename gani,,,eppudu aa chicken ne ni prenam thistundhi,,,Jara,chusukoni,,,,thinu",-0.9966338276863098,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Akka miru enni sarulu thinnaru kfc chicken akka chappandi,Akka miru enni sarulu thinnaru kfc chicken akka chappandi,-0.9950326681137085,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,I love chicken so much,I love chicken so much,0.9983231425285339,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Bro one time you should try kfc chicken nuggets please please please😊😊😊🤤🤤🤤,Bro one time you should try kfc chicken nuggets please please please😊😊😊🤤🤤🤤,-0.8964865207672119,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Basha chicken pakoda,Basha chicken pakoda,-0.9955785870552063,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,My favourite food 🥰🥰🥰🤤🤤🤤🤤🤤😋😋😋😋😋😛😛😛😜😜😜😜🤪🤪🤪🤪🥴🥴🥴🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤,My favourite food 🥰🥰🥰🤤🤤🤤🤤🤤😋😋😋😋😋😛😛😛😜😜😜😜🤪🤪🤪🤪🥴🥴🥴🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Zinger burger ante nak pichiii🎉,Zinger burger before it's small🎉,-0.982798159122467,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Zinger burger baaga istam bro and wings,Zinger burger baaga istam bro and wings,0.9459872245788574,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Ee location kfc lo fresh undavu.. multiple times same bad experience,Ee location kfc lo fresh undavu.. multiple times same bad experience,-0.9986318945884705,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Bro but chizza doesn't means it will have more cheese it means chicken used at place of the base of a pizza with the same toppings,Bro but chizza doesn't means it will have more cheese it means chicken used at place of the base of a pizza with the same toppings,-0.9885047078132629,0.0,-0.9885047078132629,0.0
2026-03-25,General,YouTube Comment,Is very tasty very crispy,Is very tasty very crispy,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"""Yakrit Plihantak Churna by Planet Ayurveda se liver ke toxins easily flush hote hain. Junk food ke baad bhi body light aur healthy feel karti hai. Amazing results!""","""Yakrit Plihantak Churna by Planet Ayurveda flushes liver toxins easily. The body feels light and healthy even after junk food. Amazing results!""",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Bro it’s Boring kocham new try cheydhandhi mana Indian food explore cheyandhi with ur mama,Bro it's Boring kocham new try cheydhandhi mana Indian food explore cheyandhi with ur mama,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,kappalu pamulu time vallaki chicken em pothadi mama..💀,kappalu pamulu time vallaki chicken em pothadi mama..💀,-0.9575222134590149,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,"Kfc emaina Indian food ha
Evadra meku cheppindi","Kfc emaina Indian food ha
Evadra meku cheppindi",0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,😂😂asalu Indian food exploring ani cheppi evarini mosam chedam anukuntunav broo.KFC Indian food ante😂😂😂,😂😂asalu Indian food exploring ani cheppi evarini mosam chedam anukuntunav bro.KFC Indian food ante😂😂😂,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Bro KFC Indian food aaa bro logic😅😅😅😅😅😊,Bro KFC Indian food aaa bro logic😅😅😅😅😅😊,0.0,0.0,0.0,0.0
2026-03-25,General,YouTube Comment,Chizza and chicken roll try chesi review ivvandi,Chizza and chicken roll try chesi review ivvandi,-0.80879145860672,0.0,0.0,0.0
