Date,Branch,Platform,Review_Text,Translated_Text,Food,Service,Ambience,Pricing
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Chicken,Chicken,-0.990566074848175,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,I love KFC 🍗🍗🤤🤤,I love KFC 🍗🍗🤤🤤,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,I love KFG,I love KFG,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Life lo okkasari kuda KFC thinalenu bro😢😢😢,Life lo okkasari kuda KFC thinalenu bro😢😢😢😢,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Kfc😊,Kfc😊,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Bos 10m rupees de de,Bos 10m rupees,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Abeyyyyy salary dedeeee😂😂😂,Abeyyyyy salary dedeeee😂😂😂,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Abbbeeeyyyyy bhai ki salary dede varna location maang lunga 😂😂,Abbbeeeyyyyy bhai ki salary dede varna location maang lunga 😂😂,0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Bhai mere buisness me ma hi boss hu.,"Brother, I am the boss in my business.",0.0,0.0,0.0,0.0
2026-01-29,"Hyderabad, Visakhapatnam",Comment,Ab boss salary dede isko 🎉,Ab boss salar dede isco 🎉,0.0,0.0,0.0,0.0
